User Name,Number of Reviews by User,RfnDt 2,Time When reviewed,Reviews
Tam Phan,15 reviews,,3 years ago,"Incredibly rude staff. The owner said, ""I can't keep helping you, I need to eat my lunch"". This is ridiculous; you are a business and should behave like so. Your customers come first and your lunch comes last!"
Maolin Zhang,14 reviews,,a year ago,"Great service, the couple are kind and patient, don’t know why there’s so many bad reviews"
joe verkuyl,3 reviews,,4 years ago,I've always had a good experience at this CP.  The owners are friendly and quick in processing my outgoing packages.
Mark,38 reviews,,a year ago,"Very good service. Its so busy I don't know how they can keep up, but they do."
Cameron Cherry,14 reviews,,4 years ago,HORRIBLE CUSTOMER SERVICE. STORE OWNER CALLED ME CHEAP FOR ASKING FOR TAPE TO USE ON MY PACKAGE. I LIVE IN THE NEIGHBORHOOD AND WILL NEVER RETURN DESPITE THE CONVENIENCE.
Sean Guadron,4 reviews,,2 years ago,Very friendly and kind people. I've been going there for years and they provide a great service.
Tyler,1 review,,3 years ago,"im not sure why people are giving it 1 stars the owner is very nice and always greet me when i come into the store and even remember my name,"
k,· 71 reviews,Local Guide,3 years ago,"The other reviews here are shocking, I went to this post office for the first time last week and found the older couple running this Canada Post to be very sweet and kind."
Alex Heit,7 reviews,,5 years ago,"I love this place, always very nice and quick , never had any problems here at all and I use it twice a month"
Qendrim Hoti,2 reviews,,7 years ago,"Their system froze, instead of fixing it right away they ignored me and started playing on  their cell phone. I was waiting for 15 minutes, I left without my package."
Adnaan Bhyat,· 65 reviews,Local Guide,3 years ago,Will not come back. Poor service treat customers with no respect. Should not be allowed to host a post office here.
waivedwench,16 reviews,,2 years ago,Been going there for years. Never had any problems with either the service or the people.
Michael F,51 reviews,,3 years ago,"These people are crooks, they charge at the end for scrap boxes, something Ive never experienced. GO SOMEWHERE ELSE!"
Behzad Sabeti,8 reviews,,2 years ago,"Too disappointing experience, an old woman working there that she don't know anything about costumer services."
agawgawgaw,· 9 reviews,Local Guide,2 years ago,"Very friendly owners, been going here for years and the service is always excellent."
Keegan Irvine,20 reviews,,5 years ago,Rude staff indeed and they know they can get away with it as there isnt another post office in the Junction.
nidal s,22 reviews,,6 years ago,Lost my package and were very rude about it. I would recommend using other locations.
Caroline B.,5 reviews,,4 years ago,Horrible and very rude. The woman working at the post has no respect for her client.
Mónica Rojas,1 review,,2 years ago,The woman at the counter was rude. I'll never go back again!
Jordan McLeod,· 9 reviews,Local Guide,7 years ago,Closed early with no warning or notice. I missed out on my package thanks to them.
happy kille,4 reviews,,6 months ago,Thank you 💕 so much 😘 …
Alexandre Pimenta,1 review,,3 years ago,Worst service ever. Do not respect customers at all
nicho,· 19 reviews,Local Guide,3 years ago,Doesn’t open according to hours posted and service is abysmal.
Oliver Pauk,38 reviews,,8 years ago,"By the way, they're closed on Sundays. The hours listed by Google are incorrect."
Tika,14 reviews,,a year ago,"Friendly, prompt and helpful service"
Darko S,11 reviews,,2 years ago,Very rude and not helpful at all.
Tim S.,· 305 reviews,Local Guide,2 years ago,Excellent service
Paris Rosa,2 reviews,,4 years ago,
Diem Le,,,a year ago,
Len Stokes,1 review,,a year ago,
Austin Tompkins,· 117 reviews,Local Guide,9 years ago,
Julia Ferguson,· 21 reviews,Local Guide,7 months ago,
Jesse Sousa,1 review,,8 months ago,
Hannah Monroe,· 3 reviews,Local Guide,2 days ago,
Paul Magda,· 460 reviews,Local Guide,9 years ago,
Mike Tomicic,16 reviews,,3 years ago,
M L,4 reviews,,3 years ago,
,,,,
E Sayed,· 322 reviews,Local Guide,5 months ago,"Staff was friendly and helpful and try their best to keep up with the queue.

They help you with al the information required . One old man with beard …"
Moonshine,9 reviews,,3 weeks ago,"Went here before closing time and the employee at the time, Mohammad, refused to scan my packages saying he's already clocked out because there were no customers around. I tried to explain to him that I should still be saved as a customer …"
A L,67 reviews,,a month ago,New manager and staff are condescending and talk about customers to each other in Tamil right in front of you. The employees here hv always been kind of sassy but it's gotten worse recently. They're also exceptionally slow. Find another location
Inge V,1 review,,2 months ago,Worst PO in the area. The only one who seems to know what he is doing is treated with disdain. New “manager” who has no clue. Oversized envelopes are said to be packages (Huh?) Weekend employees are ok. Twice now I have seen the “manager” …
Afshan Shaikh,3 reviews,,5 days ago,Worst customer service. What’s wrong with the old man with the beard. He’s alway talking in a condescending tone. Unfortunately might have to see his face again as they are closest to my house. Someone in management please change this guy
Kris Toronto 1,4 reviews,,2 weeks ago,"UPDATE I’ve seen much improvement

this location consistently over charges - they will tell me an outrageous price …"
Anna P,· 183 reviews,Local Guide,a year ago,"I wish there were more Canada Post locations around this neighbourhood. having said that, this is a very efficient place. Most of the time I am there, they only have only one person, which must be super hard and stressful (I wish they could …"
Anna Melnikoff,9 reviews,,2 years ago,"I've always had unfailingly courteous service here, the staff is knowledgeable, and if there's occasionally a lineup, that's on Canada Post for not having enough staff at that location. Considering how busy the location is, and how slow and …"
Bloch Real Estate Team,· 66 reviews,Local Guide,a year ago,"The staff at this location are amazing! They all deserve a bonus! Suraj, is an excellent manager! They are all friendly and courteous and make a long line move quick!"
P M,· 37 reviews,Local Guide,10 months ago,"Staff serve with the speed of a sloth and the knowledge of a frying pan, sprinkled with the attitude of a true disgruntled Torontonian. I always avoid having anything routed here if given the option."
Shalyn Bass-McFaul,· 22 reviews,Local Guide,4 years ago,"Both the location in the Shoppers as well as the new Penguin extention next door have awful issues every time I have to pick up a parcel.  There was only one worker on site, which meant that when we arrived to pick up a parcel and walked in …"
Dylan van den Berge,· 9 reviews,Local Guide,3 years ago,"It’s a post office, not a McDonalds drive thru. If waiting for service is an issue than that’s on the customer. Never had an issue with the staff, their knowledge, or their abilities to help me."
Hu Hong,· 7 reviews,Local Guide,2 years ago,This is horrible that they close after notify me to pickup package at this location today!!! The note says indefinitely until further notice. So what happen to my packages?!?!
Rose,· 57 reviews,Local Guide,2 years ago,Hours of service are not consistent with postal notice information and website information. They're supposed to be closed at 9PM but were closed at 730PM. Just update your info.
Jason Campbell,7 reviews,,3 years ago,One person on staff for a sunday with a line up of 20 people. Haven't moved an inch in ten minutes.
Rex ReguM,7 reviews,,a year ago,"I have got a good service from Mr. Christopher
He help me a lot 👍 …"
First Utopia,· 108 reviews,Local Guide,5 years ago,Average wait for service. Never had any shipping or receiving issues here
Giuseppe Leggiero,1 review,,5 years ago,Attempt to delivery but no card left in my mailbox. Just found out from the sender...Shotty service
Sebastian C.,· 57 reviews,Local Guide,4 years ago,"Great location, friendly staff - free parking in the back!"
Leesa Soulja Gal,· 21 reviews,Local Guide,2 years ago,Friendly workers & they're quick & knowledgable
Louis Pritchard,· 460 reviews,Local Guide,2 years ago,Good service though sometime a wait.
Hj Kaye,· 162 reviews,Local Guide,11 months ago,Slow
Phung Tien Tran,9 reviews,,2 years ago,Horrible service!!!
Dipendra Pokharel,4 reviews,,5 years ago,
Victor Xin,· 22 reviews,Local Guide,9 months ago,
Lillian JT.,· 213 reviews,Local Guide,5 years ago,
Mania Aghaei Meibodi,2 reviews,,a year ago,
Zara T,3 reviews,,3 months ago,
Nikesh Ghimire,· 144 reviews,Local Guide,5 years ago,
Rajesh Chowdary B,16 reviews,,2 years ago,
Debra Brown,· 27 reviews,Local Guide,a year ago,
Viral Desai,· 121 reviews,Local Guide,8 months ago,
Christina Ashley Condie (Lovely Loopy),· 14 reviews,Local Guide,a year ago,
,,,,
,,,,
,,,,
,,,,
Krutang Patel,· 59 reviews,Local Guide,2 weeks ago,"I had a fantastic experience at Canada Post today when I visited to return an Amazon order. The staff member who assisted me, Lubna, was incredibly polite and helpful throughout the entire process. She went above and beyond to ensure that …"
Kaila Mervin,3 reviews,,4 months ago,"I tried to ship something out and had the wrong label, no big deal but the lady working, black lady not sure her name was very rude from the start of our interaction. She didn’t explain things properly  to me and was rushing trying to …"
radhika maggi,7 reviews,,4 months ago,"I’ve had worst experience in this store , there’s a black lady who work evenings in this canada post … she’s extremely rude for no reason , not at all helpful , extremely unprofessional shouting and loud for no reason . Instead of helping …"
bill Mewho,20 reviews,,4 years ago,"I've seen there are mixed reviews, good and bad, and that is how I experience myself also.  It is so depends who is working there. Having a short distance from my home, I get many items delivered here, as well as  mailing my items there. …"
Just Didit,· 81 reviews,Local Guide,2 months ago,Lady was just chatting away with one customer while 6 more waited
krunal patel,7 reviews,,2 years ago,Senseless service. One of the lady doesn't have any respect towards customers. Literally felt like a garbage service. Always gives improper answer in bad manner. I would say 0 start out of 5. No recommendation at all. This one star is just to post review. Otherwise I would give lowest one.
Durray Adan,11 reviews,,3 years ago,"Worse experience ever. Their staff member, Sonia is so rude. She has no customer service skills at all. I think she needs adequate training. She was literally yelling. It’s better to go somewhere else rather than going there."
Priya Parmar,5 reviews,,3 years ago,"I gave one star and i think that lady who was working there doesn’t even deserve one star. Her name is Sonia .She doesn’t know how to deal with customers. I went there because i lost my receipt from where i can see the tracking number, i …"
Nuvin S.,· 16 reviews,Local Guide,5 years ago,Horrible customer service. The lady working there has no motivation and no customer management skills whatsoever. When I went to retrieve my package with no notification paper (the postman did not leave any paper for me) and I told her of …
leens b,1 review,,2 years ago,Sonia and the rest of the girls are super nice. They all work well with each other and go out of their way to help you. This Canada Post is the best in the area. I despise going to Thistletown and Albion Mall. I would always recommend this location.
javnika patel,· 173 reviews,Local Guide,6 months ago,"I went to return my Amazon package,
Naomi was very helpful."
pamela A.,4 reviews,,5 years ago,"Always have had great service until recently. The postal clerk was probably new, and he had messed up my sender and return labels. I kept insisting that I had to pay a fee for the item to be posted back. He had said no. I had called in a …"
Zeal Parikh,· 21 reviews,Local Guide,a year ago,"Worst service. Sonia at the post office ,cannot verify a simple name on the id and give the correct package.I had to come all the way back. Worst service ever. Staff needs training."
serdar alic,· 28 reviews,Local Guide,2 years ago,"You can rarely see such bad service in Canada post locations. The lady working here is one of the rudest. I checked the other comments . it is the same for everyone. But i guess Canada post officials never check any feedback from here. She is still there, rude and unqualified."
Vinay Sharma,· 29 reviews,Local Guide,3 years ago,Raquel was amazing. She went out of her way to help me out with my money order issue. She was well organised and provided quick service.
saumil shah,· 15 reviews,Local Guide,a year ago,"Worst post office ever just because of this one person sonia, totally rude, not a grain of customer service skill, and on top of that not even doing her job correctly."
cecilia trinh,· 16 reviews,Local Guide,a year ago,"I wish they had 0 star here
Worst staff I’ve ever seen in Canada her name is Raxa and she was super rude with customers"
Mathew,1 review,,3 years ago,"Terrible experience over all... called in asked the lady to track a package for me, she didnt ask for a name number nor tracking number all she stated was can I put you on hold... I was transferred back to customer service who then …"
Daniel S.,· 152 reviews,Local Guide,6 years ago,I arrived late but I was helped just fine. My product (ordered through Best Buy) was delivered there for my pick up convenience.
kunjal patel,4 reviews,,a year ago,Please update the Canada Post time for Saturday on google... killed my time and worst service ever in my life.... Really bad job of management..not recommended this store...
Foteh Sharipov,· 210 reviews,Local Guide,2 years ago,Absolutely unhappy employees. Did not even say hello and began to scold. The worst office I've ever seen
Gabriel Escalante,· 16 reviews,Local Guide,4 years ago,I called them to pick up a package before I go there and they said we close on Sunday at 5 I came 4:30 and they told  me we closed at 4  !! Worst and worst Canadá post
Shirajul Bhuiyan,38 reviews,,a year ago,"Salwa
Professional service. Thank you so much"
uzaer ahmed,· 50 reviews,Local Guide,3 years ago,Horrible customer service by your representative named Sonia.
David Luu,2 reviews,,2 years ago,"Really bad service, do not go there !!!"
Dwight Palmer,· 22 reviews,Local Guide,6 years ago,Quick service and friendly service.
ReXx Effects,· 411 reviews,Local Guide,3 years ago,Helpful friendly staff !
thuc my truong,1 review,,3 years ago,Terrible customer service.
Fafi's best,1 review,,3 years ago,Worst customer service
Good Four,"1,411 reviews",,5 years ago,"Nice, clean, popular store 🏪 Canada 🇨🇦 Post. The atmosphere is friendly, the service is top notch. I recommend to visit, the sellers are friendly. There is parking for cars 🚘🚖🚗🆓, and there is also a special parking for 🆓♿ disabled people 🆓♿. 👍🍁🇨🇦

🌟🌟🌟🌟🌟"
Krista Price,· 5 reviews,Local Guide,3 years ago,
Miral Mubasher,12 reviews,,a year ago,
Vipulkumar Patel,· 8 reviews,Local Guide,7 years ago,
Aldwyn Macalino,,,3 years ago,
Gaurav chhatriwala,1 review,,a month ago,
Diana Hong,4 reviews,,5 years ago,
farid ahmad,8 reviews,,3 years ago,
Satyam Pandya,2 reviews,,2 years ago,
Leo Rob,,,10 years ago,
Farishta Ahmadi,,,2 years ago,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Kat Foster,7 reviews,,2 months ago,"The older, curly haired woman who works at the postal counter here is mind-boggingly miserable and unfriendly. I dread coming here and usually drop off my parcels at other CP counters farther away just to avoid any interactions with her; …"
Tawseef Khan,· 110 reviews,Local Guide,a year ago,A nice little location that’s been super convenient for me. I mostly use it to pick up parcels from online orders and it’s always been a breeze. Sometimes though there can be small queues as it’s a small office with just one staff. The lady here is usually helpful.
V S,7 reviews,,2 years ago,"I’ve been to this Canada post location many times as it is the closest location to my place. EVERY single experience has been beyond negative. The lady is rude, impatient, seems miserable working there and lacks basic customer service …"
Mariana Garcia,· 18 reviews,Local Guide,4 months ago,Pharmacists are caring and friendly. Very good service
Alex St.Germain,· 53 reviews,Local Guide,2 years ago,"I often read the reviews before posting my own if I have a complaint as I want to assess if it was just an off moment or if it’s a pattern. As someone who has worked in customer service my whole working life, I know it’s not always a …"
H. Calvert,3 reviews,,3 years ago,"Ilda, the postmistress, is fabulous! She knows absolutely everything about sending mail & is super friendly, helpful, & polite. I marvel at how much money she has saved me over the years, by telling me better ways to manage my shipping. She …"
Julianne Kelso,1 review,,2 years ago,"I use the post office here whenever I need to send something, either for my home business or gifts etc. and I had another good experience today with Chau while I was shipping some packages internationally. I've always found her to be …"
Ricardo Ruiz Zamora,· 123 reviews,Local Guide,5 years ago,"Sad to say this is my closet Canada Post location. The employees don’t know how to work the FlexDelivery Service from Canada Post. Computer always crashes, scanners don’t scan and they always loose my packages. I get about 4 or 5 packages …"
Teena Tessier (NeatKnotz),4 reviews,,3 years ago,"First time using this post office and will most definitely be back. I only wish my parcels where delivered here as well. The clerk working was pleasant helpful and kind. I wish I remembered her name but I will not forget her.
Teena@neatknotz"
Sunny C,· 30 reviews,Local Guide,2 years ago,"I go there merely because it’s the closest post office to my place. Every time I go there, the lady sounds very impatient. I’ve never seen a warm smile on her face. It looks like I interrupt her cozy and calm afternoon time."
Naz Ba 67,10 reviews,,9 months ago,"I have known the staff here for more than 4 years and they are always very friendly to me, I love them so much 😊❤️ …"
Rebeca Polo,· 493 reviews,Local Guide,6 years ago,"I have been to this Canada Post several times to send some packages to Spain and the staff is the friendliest, super professional. Every time they have been super helpful and informative about the service, rates, weight, etc. and with all the questions I had."
Brenden Williams,6 reviews,,5 years ago,"Great when open, the post office clerk is very knowledgeable and helpful. Hours of operation are completely incorrect, resulted in me going with a bag full of things to ship out and having to turn right around and go back home."
Andrew Dalrymple,· 30 reviews,Local Guide,5 years ago,"Friendly staff, sometimes a wait at the post office (to be expected) but generally quick. I even lost a tracking number and nearly a month later they were able to look it up for me."
Nat G,7 reviews,,2 years ago,Never in my life have I experienced such slow customer service. With only 3 people in front of be it took close to an hour to receive my package.
Aaron Murphy,23 reviews,,2 years ago,"I love this Canada Post location.  Staff are always extremely polite, friendly, and helpful!  I highly recommend it."
mystic sound,1 review,,a year ago,"Lady was very rude and lacked proper communication skills and manners, she was very annoyed when she had to interact with us."
Eyal Birenberg,· 28 reviews,Local Guide,5 years ago,"This place is accessible and conveniently located next to the TTC's High Park station. They offer all postal services, including fax and photocopying"
K W,4 reviews,,3 years ago,The pharmacist and staff are great and extremely helpful. The post office is great too! 🙂 …
Charley S,· 43 reviews,Local Guide,a year ago,"Great location, amazing staff. I go here all the time. ☺️☺️☺️"
K C,17 reviews,,5 months ago,Rude.
David Bobnar,· 140 reviews,Local Guide,2 years ago,Very slow service. Don't care to move fast. Go to another location.
kobidow,3 reviews,,6 years ago,"Everyone here is super friendly, helpful and most importantly: Patient! Thanks everyone!"
Graham Howlett,· 27 reviews,Local Guide,5 years ago,Always helpful. Usually not overly busy
nidal s,22 reviews,,6 years ago,All the staff working here are helpful and pleasant.
Andrew Fletcher Cole,· 542 reviews,Local Guide,3 years ago,Clean and efficient.
Mohsen Dezyanian,· 19 reviews,Local Guide,4 years ago,Horrible service. Just awful all around
Sairam Gowrisetty,· 136 reviews,Local Guide,6 years ago,Convinient in all aspects 👍 …
Adrian Martinez,12 reviews,,5 years ago,
Alex Mackay,2 reviews,,4 years ago,
Andy Wood,· 73 reviews,Local Guide,7 months ago,"I didn't use the post office today, but I have used it in the past. And it was quick and easy. And I didn't have to wait for assistance, and for me this is a plus. So I will recommend anyone who asks, that it's great, and I had only great things about the post 📫 office. …"
Khalid E,2 reviews,,2 years ago,"Terrible experience. Post office closes earlier than posted. Canada Post Site and Canada Post sign on door say closes 8pm on Sunday, however when I travelled all the way here, I was told they closest 7pm. Travelled here on Sunday February 21. Be warned!"
monica torres,6 reviews,,a year ago,Thos store i went there today.  To post my mothers passport  the woman a you g woman was there i bought a box i needed bit then i found out the bost cost 26 or more so i asked her to cancel and debit back the debit she said no!  They cant …
Saad Khalil,2 reviews,,a year ago,"Very helpful , good customer service. Coming here for so many years extremely good"
Gabby,· 131 reviews,Local Guide,a year ago,Depends whose on shift here. Either fast or seriously slow but everyone/ staff is nice here.
H & S,· 43 reviews,Local Guide,2 years ago,great new owners. even previous owners still work with them. much improved in overall service and upgrades.
Steven S,13 reviews,,2 years ago,"TERRIBLE UNRELIABLE SERVICE!!!!

They close sooner than listed on here. Wasted a whole bunch of time. Be aware"
Imelda Guitering,3 reviews,,a year ago,Flexible hours & extremely good customer service
Dr.Md.Abdul Matin,· 180 reviews,Local Guide,2 weeks ago,Good experience
Vladimir Martintsov,· 16 reviews,Local Guide,2 years ago,Amazing opening hours unlike other locations with dumb 9-5 Mon-Fri when everyone is at work!
Jaime Dantas,· 140 reviews,Local Guide,a year ago,Best location ever! Very efficient and fast!
Shannon,· 404 reviews,Local Guide,a year ago,Received thoughtful service from a Korean lady in the Retail Postal office. 💗💗💗 …
Mouni Chowdhary,8 reviews,,a year ago,Very helpful & great customer service
HARPREET KAUR,3 reviews,,a year ago,Very helpful staff and good services
Alexa Hall,· 10 reviews,Local Guide,a year ago,Good service. Busy location
Ali,· 59 reviews,Local Guide,3 years ago,The only one open late Sundays. I didn't believe it before I see it.
E L,· 547 reviews,Local Guide,5 years ago,Good food but super busy
L Hetti,7 reviews,,5 years ago,The wait times to pick up a parcel is ridiculous
nick knickle,"· 1,646 reviews",Local Guide,5 years ago,For mail and services nothing too different
B L,8 reviews,,2 years ago,great service
John Lashyn,· 374 reviews,Local Guide,a year ago,Friendly staff
ZZ Z (Rain),5 reviews,,2 years ago,good service
Thu Dang,6 reviews,,11 hours ago,"Unfortunately, in dealing with Canada Post in our area along with this location, the two sides have blamed one another and lost our package. Canada Post takes no responsibility for dropping off the package, and this physical location blames …"
Tuyen Nguyen,17 reviews,,a year ago,
Leo vin,1 review,,2 years ago,
Joyce S,· 26 reviews,Local Guide,3 years ago,
Kristy Baravio,,,2 years ago,
Zte Alcantara,,,2 years ago,
Deepak G,,,2 years ago,
Felix Serna,· 5 reviews,Local Guide,a year ago,
